Код	"маркет bid"	"маркет cbid"	Кластер
20887	12	12	000
3657	12	12	000
67786	12	12	000
67784	12	12	000
67785	12	12	000
9188	12	12	000
22968	12	12	000
48710	12	12	000
6549	12	12	000
59279	12	12	000
59284	12	12	000
44270	30	30	000
49363	12	12	000
59281	12	12	000
59280	12	12	000
12528	12	12	000
3643	12	12	000
46445	12	12	000
22153	12	12	000
45923	12	12	000
25789	12	12	000
32955	12	12	000
25767	12	12	000
25979	12	12	000
40285	12	12	000
23056	16	16	000
53713	12	12	000
59282	12	12	000
19276	12	12	000
46439	12	12	000
49395	12	12	000
60874	12	12	000
6391	12	12	000
58971	12	12	000
36380	12	12	000
51458	12	12	000
3475	12	12	000
9787	12	12	000
49404	12	12	000
23608	32	32	000
25293	12	12	000
5419	13	13	000
25978	13	13	000
33135	32	32	000
48045	12	12	000
51758	13	13	000
68771	12	12	000
27348	13	13	000
61313	13	13	000
68765	13	13	000
51460	13	13	000
55900	14	14	000
46446	13	13	000
67730	23	23	000
67729	23	23	000
67773	23	23	000
3371	13	13	000
67788	13	13	000
67787	13	13	000
67789	13	13	000
17050	13	13	000
57925	13	13	000
25831	33	33	000
8912	38	38	000
68769	14	14	000
41937	20	20	000
22984	14	14	000
42208	14	14	000
25957	38	38	000
6548	14	14	000
4418	14	14	000
22970	14	14	000
66767	16	16	000
68168	14	14	000
61479	18	18	000
25794	14	14	000
56474	14	14	000
42759	14	14	000
12520	14	14	000
46728	14	14	000
12527	14	14	000
22228	36	36	000
25892	14	14	000
23366	14	14	000
39620	14	14	000
56986	14	14	000
25747	36	36	000
47293	14	14	000
47149	14	14	000
58233	14	14	000
67749	14	14	000
67721	14	14	000
67747	14	14	000
67746	14	14	000
67748	14	14	000
67745	14	14	000
22229	14	14	000
62488	14	14	000
22992	14	14	000
23053	36	36	000
25749	37	37	000
68763	12	12	000
56550	14	14	000
1810	41	41	000
23437	15	15	000
1812	41	41	000
68284	15	15	000
51308	14	14	000
36277	15	15	000
22993	14	14	000
7127	37	37	000
22285	15	15	000
40809	12	12	000
12521	15	15	000
59065	19	19	000
68282	15	15	000
43634	15	15	000
12531	15	15	000
41841	15	15	000
30994	15	15	000
48713	20	20	000
5416	15	15	000
31155	15	15	000
31156	15	15	000
33485	15	15	000
23352	15	15	000
33889	15	15	000
25079	15	15	000
58048	15	15	000
23355	15	15	000
68283	16	16	000
53595	17	17	000
40591	16	16	000
51145	16	16	000
23314	16	16	000
39847	16	16	000
34742	16	16	000
25905	16	16	000
25906	16	16	000
42591	20	20	000
59576	52	52	000
39230	16	16	000
68762	12	12	000
48430	41	41	000
47271	16	16	000
56767	12	12	000
43150	16	16	000
47985	16	16	000
59277	16	16	000
60648	16	16	000
12530	16	16	000
40764	12	12	000
46880	16	16	000
39645	16	16	000
20975	16	16	000
46512	16	16	000
48082	12	12	000
42280	16	16	000
56775	16	16	000
66043	16	16	000
68770	16	16	000
8913	13	13	000
62275	12	12	000
61711	16	16	000
66765	17	17	000
61374	18	18	000
59631	17	17	000
55888	17	17	000
42123	17	17	000
60839	16	16	000
68429	17	17	000
25997	17	17	000
60803	17	17	000
49403	28	28	000
12601	20	20	000
66807	17	17	000
55897	17	17	000
22976	17	17	000
22404	17	17	000
57929	17	17	000
11576	17	17	000
12510	18	18	000
5423	22	22	000
25145	17	17	000
60342	17	17	000
25745	43	43	000
59383	17	17	000
22315	43	43	000
27497	17	17	000
23577	17	17	000
18492	17	17	000
48087	19	19	000
25146	20	20	000
12544	19	19	000
6459	43	43	000
25763	18	18	000
22974	18	18	000
57927	17	17	000
57615	17	17	000
22977	21	21	000
55277	17	17	000
9713	51	51	000
46522	12	12	000
34575	17	17	000
63781	18	18	000
61320	18	18	000
68509	17	17	000
21016	18	18	000
22240	18	18	000
56249	18	18	000
22420	18	18	000
61833	18	18	000
22283	18	18	000
46864	19	19	000
58057	18	18	000
5417	14	14	000
60909	46	46	000
32976	18	18	000
28897	18	18	000
53604	19	19	000
37726	18	18	000
53060	18	18	000
55009	18	18	000
57826	18	18	000
5466	18	18	000
56426	16	16	000
45616	18	18	000
40452	18	18	000
24876	18	18	000
11526	18	18	000
59634	18	18	000
61845	18	18	000
22399	52	52	000
60646	19	19	000
25139	19	19	000
12505	19	19	000
23351	18	18	000
34576	18	18	000
1840	20	20	000
68430	20	20	000
61182	15	15	000
5422	19	19	000
11320	19	19	000
25312	19	19	000
53974	19	19	000
56925	19	19	000
23061	51	51	000
25446	20	20	000
54184	22	22	000
23060	51	51	000
68434	19	19	000
25953	48	48	000
39272	19	19	000
67762	12	12	000
5396	18	18	000
40487	32	32	000
53603	19	19	000
48600	19	19	000
22237	21	21	000
55821	19	19	000
30661	19	19	000
8216	48	48	000
57926	19	19	000
55244	19	19	000
59608	12	12	000
58271	19	19	000
59302	52	52	000
23055	19	19	000
12490	19	19	000
23371	20	20	000
59633	16	16	000
50818	18	18	000
47593	20	20	000
17730	20	20	000
57969	21	21	000
21930	20	20	000
40472	20	20	000
46518	27	27	000
25368	20	20	000
23626	20	20	000
48100	20	20	000
61925	19	19	000
3609	18	18	000
3577	20	20	000
56453	20	20	000
49910	20	20	000
19117	20	20	000
37446	51	51	000
25709	20	20	000
56455	20	20	000
61450	20	20	000
61926	20	20	000
33847	20	20	000
53930	20	20	000
9428	20	20	000
23059	20	20	000
61712	24	24	000
38674	20	20	000
44061	20	20	000
8911	51	51	000
22212	20	20	000
22292	21	21	000
18663	20	20	000
23571	20	20	000
62231	23	23	000
25664	20	20	000
23561	51	51	000
22225	19	19	000
12522	19	19	000
59179	20	20	000
51813	21	21	000
68431	17	17	000
25913	22	22	000
59630	21	21	000
59384	21	21	000
7122	21	21	000
22226	19	19	000
63634	22	22	000
23282	21	21	000
55040	21	21	000
25748	53	53	000
67566	21	21	000
40488	21	21	000
67175	20	20	000
69556	21	21	000
24653	21	21	000
25803	21	21	000
59485	26	26	000
6467	53	53	000
59385	18	18	000
12500	53	53	000
23052	19	19	000
29517	21	21	000
10651	21	21	000
22236	19	19	000
60644	22	22	000
58451	23	23	000
22235	19	19	000
12608	21	21	000
34105	22	22	000
23557	53	53	000
56005	21	21	000
62794	21	21	000
6984	22	22	000
48803	22	22	000
21104	54	54	000
21103	54	54	000
68408	19	19	000
23535	22	22	000
12498	22	22	000
22335	20	20	000
60520	22	22	000
59028	22	22	000
48964	23	23	000
62109	22	22	000
23349	22	22	000
5405	22	22	000
38495	22	22	000
43870	22	22	000
6445	19	19	000
56855	12	12	000
61302	22	22	000
39051	56	56	000
59276	22	22	000
33166	18	18	000
25636	22	22	000
55922	22	22	000
22227	22	22	000
20744	57	57	000
1838	22	22	000
44504	22	22	000
25543	26	26	000
61842	22	22	000
43851	22	22	000
62593	25	25	000
23431	26	26	000
60895	23	23	000
23037	21	21	000
68772	22	22	000
68409	20	20	000
55993	28	28	000
4420	23	23	000
59393	23	23	000
67763	30	30	000
67756	23	23	000
67755	23	23	000
67758	23	23	000
67757	23	23	000
67754	23	23	000
23373	23	23	000
58090	23	23	000
23402	46	46	000
62354	21	21	000
24960	16	16	000
23534	24	24	000
68411	20	20	000
59488	24	24	000
25898	23	23	000
21582	24	24	000
23512	23	23	000
9175	23	23	000
56004	23	23	000
60962	19	19	000
55891	23	23	000
8012	23	23	000
23624	23	23	000
60651	23	23	000
63388	24	24	000
58449	23	23	000
6986	24	24	000
34810	23	23	000
23524	23	23	000
23360	23	23	000
68415	23	23	000
23354	23	23	000
57905	23	23	000
25081	23	23	000
12499	23	23	000
64789	26	26	000
22371	25	25	000
62786	24	24	000
29433	24	24	000
60840	24	24	000
67565	38	38	000
1836	24	24	000
60649	19	19	000
25447	24	24	000
63782	24	24	000
25122	27	27	000
9814	24	24	000
6462	24	24	000
22478	24	24	000
59061	23	23	000
25369	23	23	000
50860	24	24	000
56983	24	24	000
58450	23	23	000
25310	24	24	000
61676	12	12	000
46006	24	24	000
22002	22	22	000
1837	22	22	000
61964	24	24	000
44034	28	28	000
22234	24	24	000
22233	24	24	000
24973	23	23	000
52183	24	24	000
51300	24	24	000
23617	24	24	000
5413	24	24	000
43853	24	24	000
35690	61	61	000
59242	29	29	000
25830	24	24	000
59060	23	23	000
9178	27	27	000
62225	24	24	000
23625	24	24	000
19162	25	25	000
33138	24	24	000
19165	23	23	000
23276	24	24	000
58433	25	25	000
25311	23	23	000
46561	24	24	000
59624	24	24	000
55538	55	55	000
25080	22	22	000
12542	27	27	000
58409	25	25	000
19161	28	28	000
55256	25	25	000
25460	22	22	000
63389	25	25	000
58434	24	24	000
25800	25	25	000
25746	63	63	000
50917	25	25	000
9813	12	12	000
17284	25	25	000
61316	26	26	000
45316	25	25	000
38182	63	63	000
61886	26	26	000
22398	29	29	000
61677	25	25	000
22310	25	25	000
25959	25	25	000
61847	25	25	000
31643	20	20	000
22405	29	29	000
22985	25	25	000
25849	25	25	000
47379	26	26	000
47577	26	26	000
21106	25	25	000
21105	25	25	000
56853	27	27	000
28255	25	25	000
58446	26	26	000
63012	25	25	000
20749	70	70	000
55625	26	26	000
58056	23	23	000
21581	26	26	000
59001	26	26	000
