Код	"маркет bid"	"маркет cbid"	Кластер
63073	14	14	001
49897	12	12	001
64254	12	12	001
33709	12	12	001
57823	12	12	001
57822	12	12	001
49276	12	12	001
64255	12	12	001
52084	12	12	001
17837	12	12	001
27949	12	12	001
58866	12	12	001
47148	12	12	001
47962	12	12	001
59107	12	12	001
36379	12	12	001
55186	12	12	001
44550	12	12	001
42940	12	12	001
57824	12	12	001
47229	12	12	001
43797	12	12	001
52699	12	12	001
51258	12	12	001
61311	12	12	001
57223	12	12	001
57818	12	12	001
28806	12	12	001
57820	12	12	001
47230	12	12	001
55268	12	12	001
57819	12	12	001
49648	12	12	001
44204	12	12	001
10348	12	12	001
49258	12	12	001
28682	12	12	001
49547	12	12	001
56868	12	12	001
64257	12	12	001
42086	12	12	001
51257	12	12	001
58865	12	12	001
42085	12	12	001
58850	12	12	001
54152	12	12	001
54154	12	12	001
56905	12	12	001
58849	12	12	001
58970	12	12	001
32306	12	12	001
47233	12	12	001
58906	12	12	001
40778	12	12	001
48583	12	12	001
67713	12	12	001
59274	12	12	001
65390	12	12	001
64256	12	12	001
43311	12	12	001
52760	12	12	001
42112	12	12	001
62282	12	12	001
38511	12	12	001
53076	12	12	001
37480	12	12	001
39426	12	12	001
40782	12	12	001
45658	12	12	001
53072	12	12	001
47961	12	12	001
65392	12	12	001
35721	12	12	001
56114	12	12	001
35841	12	12	001
32043	12	12	001
59278	12	12	001
40658	12	12	001
25996	12	12	001
25999	12	12	001
40392	12	12	001
40686	12	12	001
59275	12	12	001
48620	12	12	001
59285	12	12	001
40330	12	12	001
59627	12	12	001
47986	12	12	001
50356	12	12	001
42347	12	12	001
40685	12	12	001
36815	12	12	001
52669	12	12	001
59472	12	12	001
62931	12	12	001
49413	12	12	001
51428	12	12	001
47234	12	12	001
42566	12	12	001
22339	12	12	001
42229	12	12	001
50219	12	12	001
53074	12	12	001
49273	12	12	001
53075	12	12	001
52368	12	12	001
36961	12	12	001
25985	12	12	001
59473	12	12	001
48236	12	12	001
25989	12	12	001
50898	12	12	001
31795	12	12	001
40018	12	12	001
23729	12	12	001
50311	12	12	001
65534	12	12	001
50848	12	12	001
34942	12	12	001
25988	12	12	001
64249	12	12	001
47378	12	12	001
59015	12	12	001
40251	12	12	001
40045	12	12	001
31746	12	12	001
49370	12	12	001
35710	12	12	001
